Action,Email Subject,ID,Last edited time,Owner,Priority,Project,Status,Update,Update History
"Dell & Cisco 5.1 payment — invoice next week, payment early Aug",Fw: Urgent: AF RTDMS Dell and Cisco replacement parts authorization,197,"August 11, 2026 5:18 PM",Francois Du Toit,High,AF RTDMS,In progress,2026-08-07 12:24 SAST: Francois proposes proceeding with payment based on Hazrat’s commitment that Dell & Cisco parts (except C8300-1N1S-4T2X and C-NIM-4X) will arrive in Jebel Ali by 25 Aug; requested Steve’s agreement to proceed.,"2026-08-07 12:24 SAST: Updated per email — proposal to proceed with payment based on confirmed Jebel Ali arrival (25 Aug) for most Dell/Cisco parts; awaiting Steve’s agreement.

2026-08-05 10:09 SAST: Updated per email — requested confirmation of which Cisco items are in the ~25 Aug Jebel Ali partial delivery (green items), plus confirmation of remaining items’ Jebel Ali delivery and whether red-highlighted items were expedited.


2026-08-04 12:17 SAST: Updated per email — requested confirmation of Dell ship readiness (9 Aug) + Kabul delivery estimate; requested Cisco Kabul delivery lead time + expediting update for overdue items; updated Email Subject to match latest thread subject.

2026-07-22 19:13 SAST: Updated ETAs from Zippylink — Dell delivery by 9 Aug; Cisco export-compliance hold remains for router/NM cards; other line items mostly Aug ETAs.

2026-07-22 11:12 SAST: Created action from email; captured expected invoice timing and early-Aug payment clearance.

Moved from Update:
2026-07-22 11:12 SAST: Expect invoice to be issued next week; payment clearance expected in the first week of August (per PO 26-0011 and PO 26-0012).

2026-07-31 17:32 SAST — PMO cleanup: retained only the latest operational update in Update.

Moved from Update on 2026-08-11:
2026-08-05 10:09 SAST: Requested confirmation that the Cisco parts arriving in Jebel Ali ~25 Aug are the items highlighted in green; asked for confirmation of Jebel Ali delivery for the remaining items and whether the red-highlighted items were expedited.
2026-08-04 12:17 SAST: Asked ZippyLink to confirm Dell parts ready-to-ship 9 Aug and provide expected delivery date to Kabul; requested Cisco delivery lead time to Kabul and expediting update for red-marked items (3 months past committed lead time).
2026-07-22 19:13 SAST: Dell items ETA to Zippylink by 9 Aug 2026; most Cisco items now have Aug ETAs, but router/NM cards remain on export-compliance hold (router expected end-Sep; hold to be removed by end-Jul then manufacturing).

2026-08-11 17:18 SAST — PMO cleanup: retained only the latest comment in Update and moved older comments to Update History."
AFTEL DC Migration CR planning,,206,"July 31, 2026 5:32 PM",Francois,High,AF RTDMS,In progress,"31/7
Marjan will gather more details on the AFTEL migration, specifically timing and to which building.","29/7 see email to Don and Marjan

2026-07-31 16:56 SAST — PMO cleanup: moved the older update from Update to Update History and retained only the latest operational update in Update."
VB PO starting August 2026,SA Lebara VersaBlocker PO,207,"July 29, 2026 8:06 AM",,,SA Lebara,In progress,29/7 see email to Syed,
"BW Mascom AD Integration — request Mascom AD details (service account, DNs, security group)",Fw: 'EXTERNAL:'Re: BW Mascom AD Integration,208,"August 19, 2026 8:14 AM",,High,BW Mascom,In progress,[2026-08-18 17:03 SAST] Ahmad Bader advised the request should be handled by their team first; they will check with Mohamad Awab Alkhiami and revert.,"[2026-08-18 17:03 SAST] Updated from email: Ahmad Bader to handle internally first; will check with Mohamad Awab Alkhiami and revert.

[2026-08-18 11:11 SAST] Updated from email: logged Francois follow-up requesting Meheden to revert ASAP; Users DN (point #3) still pending clarification.

[2026-08-14 15:58 SAST] Updated from email: logged Mascom feedback details and that Users DN (point #3) needs clarification; updated Email Subject.

[2026-08-12 12:26 SAST] Updated from email: Mascom confirmed due diligence complete and Diwetse Richard will share SSO details; updated Email Subject.

[2026-08-12 09:05 SAST] Logged latest follow-up from Francois requesting urgent support to move BW Mascom AD integration forward; updated Email Subject.

[2026-07-29 19:41 SAST] Updated next step: request service account + security group via Saviynt; awaiting Mascom to provide AD DNs after creation.
[2026-08-05 07:50 SAST] Appended latest follow-up: requested status update on BW Mascom AD integration (email received).

Moved from Update on 2026-08-11:
[2026-07-29 19:41 SAST] Mascom requests the team to raise a Saviynt request for the service account and security group; after creation they will share the required AD attributes (Bind DN, User DN, Group DN).

2026-08-11 17:17 SAST — PMO cleanup: retained only the latest comment in Update and moved the older comment to Update History.

Moved from Update on 2026-08-19:
[2026-08-18 11:11 SAST] Francois followed up with Meheden to revert ASAP (clarification on point #3 / Users DN still outstanding).

[2026-08-14 15:58 SAST] Francois asked Meheden to elaborate on point #3 (Users DN) based on Mascom feedback; Mascom provided: service account rafm-versassure, bind DN CN=rafm-versassure,OU=Service Accounts,OU=Applications,DC=mascom,DC=bw and group DN CN=RAFM-Versassure Users,OU=Fraud & Revenue Assurance,OU=Finance,OU=Accounts,DC=mascom,DC=bw (Users DN still pending clarification).

[2026-08-12 12:26 SAST] Mascom confirmed due diligence is complete; Diwetse Richard will share the relevant SSO details next.

[2026-08-12 09:05 SAST] Francois requested urgent support from Mascom (Kaone) to proceed with AD integration and asked if LATRO can do anything to help.

[2026-08-05 07:50 SAST] Follow-up sent to Mascom (Kaone) requesting a status update on the AD integration.

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comments to Update History."
Lebara – list configured vs non-configured controls + post-launch new controls,SA Lebara new control development,209,"July 29, 2026 5:28 PM",,Medium,SA Lebara,Not started,"2026-07-29 17:27 SAST — Badee requested a list of configured controls, non-configured controls, and any new controls added after project launch to assess MS team work vs original scope. Next: compile the control list and share internally before responding to Lebara.",2026-07-29 17:27 SAST — Created action from email “SA Lebara new control development”: request to prepare control inventory (configured/non-configured/new post-launch) for internal scope/workload assessment.
Request full dump of Roshan Postpaid Billed CDRs (Jun–Jul 2026),AF RTDMS Fw: Roshan Postpaid Billed CDRs for Reconciliation,211,"July 30, 2026 8:34 AM",,Medium,AF RTDMS,Not started,"[2026-07-30 08:33 SAST] Request Najebi/ATRA to obtain full dump of postpaid billed CDRs for June and July 2026 in the agreed format, and ask all MNOs to upload the CSVs to the shared directory.",[2026-07-30 08:33 SAST] Created action from email: request for June/July 2026 postpaid billed CDR full dump + MNO CSV upload to shared directory.
SA RBM cloud migration: timeline + impact assessment,SA RBM Cloud Migration,212,"August 11, 2026 5:17 PM",,High,SA RBM,In progress,"11/8
Ghofrane had a call with Ashraf, he will align with Abdullah Alsheri regarding the migration.","2026-08-08 06:48 SAST — Updated SA RBM cloud migration action with latest internal CR scope/costing updates, timeline follow-ups, and draft RACI/estimation status.

Moved from Update on 2026-08-11:
2026-08-07 07:32 SAST — Follow-up internally asking for next steps; ElMehdi shared CR scope description + costing simulation, confirmed effort assumptions (BNOC 5h; Dev 5 working days; Services 3 working days; PM 4h) and requested this be added to the presales tracker.
2026-08-04 07:57 SAST — Advised RBM we’re working on the CR details and requested the expected migration timeline.
2026-08-04 07:54 SAST — Provided ElMehdi with a change description, draft RACI, and noted estimates still need confirmation (especially dev/app DB effort).

2026-08-11 17:17 SAST — PMO cleanup: retained only the latest comment in Update and moved older comments to Update History."
Technovision - LATRO Project Governance document,Re: Technovision - LATRO Project Governance document,213,"August 2, 2026 10:37 AM",Francois,,General,In progress,2/8 see email to Badee,
Digitization/automation of Other services: Prepare and submit letter to ATRA,,214,"August 3, 2026 11:26 AM",Hameed,Medium,AF RTDMS,Not started,"31/7
See WA to Hameed",
Infrastructure re-validation and expansion requirements,MTN MoMo Infra re-assessment,216,"August 19, 2026 8:14 AM",Chinyama,High,MTN MoMo,In progress,"12/8
Discussed with Chinyama","Moved from Update on 2026-08-19:
11/8
See email to Chinyama
3/8
See email to Ibrahim

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comments to Update History."
Asiacell re-rating module scope & controls – provide update/confirmation,IQ Asiacell Reraring Scope finalization,217,"August 19, 2026 8:14 AM",Meheden Alkhatib,High,IQ Asiacell,In progress,"2026-08-17 16:50 SAST — Re-rating scope finalization actions from today’s call: Ammar to confirm if the re-rating engine can rate only sample/filtered records (specific scenarios/bundles/cases) vs all records, and to share configuration support level (Huawei charging configs) before next call. Francois to close BRD once re-rating functionality is agreed.","2026-08-17 16:50 SAST — Updated with latest re-rating scope finalization actions and stored the email subject.

2026-08-06 15:42 SAST — Noted Francois follow-up: requested responses to Asiacell clarification points by Sunday.

2026-08-06 14:05 SAST — Updated action with Asiacell clarification questions for re-rating scope (sampling, segment coverage, discrepancy workflow/SLA, run cadence/performance, roaming dependencies, backdated scope).

2026-08-04 13:17 SAST — Appended note that Asiacell will be updated with the agreed controls and rate plans will be limited to 3.

2026-08-04 11:42 SAST — Updated action with confirmation that all 6 re-rating controls are achievable and no scope changes required; noted dependency on customer-provided rating configuration and that there is no inherent limit on number of rate plans/trees.

2026-08-03 14:41 SAST — Logged request for update on re-rating scope/controls; action remains with Meheden for response.

Moved from Update on 2026-08-06:
2026-08-06 14:05 SAST — Asiacell requested clarifications on re-rating scope: full vs sampled CDR coverage (sampling approach/size/frequency), prepaid/postpaid coverage, discrepancy workflow (alerts/tickets/ownership/SLA), batch vs near real-time cadence & performance constraints, roaming re-rating dependencies (TAP/IOT, partner rates), and whether backdated re-rating is in scope.

2026-08-04 13:17 SAST — Abdulrahman will update the Asiacell team with the agreed controls at a high level and will limit the number of rate plans considered to 3.

2026-08-04 11:42 SAST — Meheden confirmed the proposed Assure-Rev re-rating module scope aligns with standard capabilities; all 6 controls are technically achievable for BRD inclusion; no revisions needed. Rating Engine-based controls require customer-provided charging configuration (rate plans/trees, tariffs, bundles/discounts, etc.); no inherent limitation on the number of rate plans/sub-rating plans/trees—scope depends on completeness/accuracy of provided configuration.

2026-08-06 15:44 SAST — PMO cleanup: retained only the latest comment in Update and moved all older comments to Update History.

Moved from Update on 2026-08-19:
2026-08-06 15:42 SAST — Francois asked Meheden to revert/answer Asiacell’s clarification points by Sunday (and schedule a call if needed).

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comment to Update History."
Mascom ICT feed – confirm associated controls,BW Mascom New Data Feed:  ICT,219,"August 19, 2026 8:13 AM",Francois du Toit,Medium,BW Mascom,In progress,2026-08-12 09:13 SAST — Reminder from Francois to Aritra to review the Mascom ICT feed controls and update on feasibility.,"2026-08-12 09:13 SAST — Update: added reminder from Francois to Aritra to follow up on ICT feed feasibility.
2026-08-04 08:04 SAST — Created action from email: request to confirm controls associated with Mascom ICT feed.
2026-08-05 07:20 SAST — Updated from email: asked Aritra to assess ICT feed controls + feasibility and report back.

Moved from Update on 2026-08-11:
2026-08-04 08:04 SAST — Francois asked Mascom to confirm which controls (existing + additional) are associated with the new Mascom ICT data feed.

2026-08-11 17:15 SAST — PMO cleanup: retained only the latest comment in Update and moved the older comment to Update History.

Moved from Update on 2026-08-19:
2026-08-05 07:20 SAST — Francois requested Aritra to review the Mascom ICT feed controls and confirm feasibility, and provide an update.

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comment to Update History."
Other services receive outstanding data from ATRA/OPCOs,,220,"August 19, 2026 8:13 AM",Hameed,High,AF RTDMS,In progress,12/8 bits and pieces are shared on WA and email,"Moved from Update on 2026-08-19:
4/8 discuss in weekly PMO

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comment to Update History."
"BW Mascom – clarify backup sizing scope/justification (MASCOM 13TB, CW 4TB) + provide frequency/retention/sizing basis",BW Mascom Backup requirements,224,"August 19, 2026 8:13 AM",Mohamad / Soufiane / Aman (input needed),High,BW Mascom,In progress,"2026-08-18 07:54 SAST — Francois specified BW Mascom backup requirements: dedicated NFS storage needed to protect the Assure Rev RAFM platform; initial sizing estimates: DB 10GB, OpenSearch 500GB (grow to ~1TB), Hadoop 1TB (grow to ~1.5TB), and expected NFS capacity ~12TB for distributed data backups (2 full + incrementals retained 30 days). Request: once NFS is provisioned, share IP address and storage path for configuration/testing.","[2026-08-08 05:32 SAST] Created action from email: request to clarify backup scope/justification and sizing details for BW Mascom.
2026-08-18 07:54 SAST — Updated from email “BW Mascom Backup requirements”: captured NFS backup requirements, initial sizing/growth estimates, retention policy note, and request for NFS IP/path to configure and test backups.

Moved from Update on 2026-08-19:
[2026-08-08 05:32 SAST] Aman requested clarification/technical justification for the proposed backup storage (MASCOM 13TB, CW 4TB): confirm backup scope (config only vs full images incl. OS/app data/DB/logs), backup frequency, retention and sizing calculations; requirement may not be approved without justification.

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comment to Update History."
Cisco C8300 encrypted/IPsec throughput upgrade (HSEC) — confirm licenses + quote,Re: AF RTDMS Cisco Encrypted/IPSEC throughput,227,"August 19, 2026 7:36 PM",Hazrat,High,AF RTDMS,In progress,2026-08-19 19:35 SAST: PO issued/attached; awaiting ZippyLink invoice to proceed with advance payment.,"2026-08-10 06:26 SAST: Created action from email — requested confirmation of HSEC/throughput license for 1 Gbps IPsec on DR-R1/DR-R2 C8300 routers, plus quotation and check against original Cisco order.
2026-08-11 18:22 SAST: Updated from email — request for annual pricing option due to delivery delays impacting cashflow.
2026-08-19 19:35 SAST: PO issued/attached; requested invoice from ZippyLink so advance payment can be made.

Moved from Update on 2026-08-19:
2026-08-10 06:26 SAST: Request to confirm required HSEC authorization + throughput tier license to raise C8300 encrypted/IPsec throughput from 250 Mbps to ≥1 Gbps per router (DR-R1/DR-R2) and provide quotation; also verify if entitlements were included in original Cisco order.

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comment to Update History."
SA Lebara FM API integration – scope review (API details & call structure),Re: SA Lebara FM API integration Scope review,229,"August 19, 2026 8:13 AM",Francois (Lebara API details) / Daniel (Gamma API details),Medium,SA Lebara,In progress,2026-08-18 11:23 SAST — Follow-up sent to Daniel requesting the latest status on the SA Lebara FM API integration scope review action.,"2026-08-18 11:23 SAST — Updated from email follow-up: requested latest update from Daniel.
2026-08-10 17:11 SAST — Created from email: captured action list and set status to In progress.

Moved from Update on 2026-08-19:
2026-08-10 17:11 SAST — Post-call actions: Francois to request Lebara API details & call structure; Daniel to provide Pronto-facing API details & call structure for receiving/processing fraud complaints.

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comment to Update History."
Live feeds in staging environment,,230,"August 19, 2026 8:13 AM",Samir,High,IQ Asiacell,In progress,"18/8
Motivation shared with Cyber, waiting for response","Moved from Update on 2026-08-19:
11/8
Samir to send motivation for >4 months access to live feeds in staging

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comment to Update History."
Plan Geolocation trip: 19 October,,231,"August 21, 2026 7:25 AM",Francois,High,MA INWI,In progress,"21/8
See email to Khalid
11/8
See email to Dave",
BW Mascom — Assure Rev machine learning capabilities: confirm delivery approach with Moamen/TV and revert to Meghan,Re: BW Mascom - Assure Rev Machine Learning Capabilities,232,"August 19, 2026 8:13 AM",Badee Awwad / Ihab Al Shayeb,Medium,BW Mascom,In progress,"2026-08-17 17:43 SAST — Badee discussed AssureRev ML capabilities with Moamen; agreed to schedule additional sessions with the development team this week to deepen understanding, then align with Meghan on any enhancements needed.","2026-08-17 17:43 SAST — Updated from email “Re: BW Mascom - Assure Rev Machine Learning Capabilities” (sessions with dev team planned this week; then align with Meghan).
[2026-08-12 09:11 SAST] Created action from email reminder (BW Mascom — Assure Rev ML capabilities); logged next step to align with Moamen/TV and reply to Meghan.

Moved from Update on 2026-08-19:
[2026-08-12 09:11 SAST] Francois followed up/reminded Badee to progress the request to confirm Assure Rev ML capabilities vs contractual scope; next step is to take this with Moamen/TV and revert with delivery approach for the required fraud modules.

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comment to Update History."
Proceed with Cisco IPSEC (HSEC/throughput tier) license order with 6‑monthly upfront payments,Re: AF RTDMS Re: Activate Secure Automated WAN to begin your journey,233,"August 19, 2026 1:32 PM",Hazrat,Medium,AF RTDMS,In progress,"[2026-08-19 13:31 SAST] Hazrat (ZippyLink) confirmed the quote is still valid; proceed with issuing the PO with $4,000 payable on PO placement and the balance due in 6 months. Maria to prepare the PO.

17/8
see email to Hashmatullah to ask if we need to order from LNS","[2026-08-19 13:31 SAST] Updated from email: confirmed quotation still valid and requested Maria prepare PO; payment terms $4,000 on PO placement with balance due in 6 months; updated Email Subject.

[2026-08-14 08:39 SAST] Email update processed: added request to confirm placing the PO from LNS; updated Email Subject to latest forwarded subject.

[2026-08-13 07:43 SAST] Updated with payment options and Francois recommendation (option 2).

[2026-08-12 13:34 SAST] Logged request to proceed with Cisco IPSEC quote and PO placement payment details.

Moved from Update on 2026-08-19:
[2026-08-14 08:39 SAST] Francois asks whether to place the PO from LNS (per Steve’s agreement that option 2 is better).

[2026-08-13 07:43 SAST] Clarified payment options from Hazrat: (1) $3,680/month for next 6 months, or (2) $4,000 upfront + remaining $18,080 after 6 months; Francois recommends option 2.

[2026-08-12 13:34 SAST] Francois requests approval to proceed with the Cisco IPSEC quote: Hazrat will own the 36‑month order with 6‑monthly upfront payments ($3,780 on PO placement).

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comments to Update History."
MTN MoMo — Monitoring and alerting (EVA DB connectivity),MTN MoMo Monitoring and alerting,234,"August 19, 2026 8:13 AM",,High,MTN MoMo,In progress,2026-08-17 17:43 SAST — Aman: manual monitoring exists and can likely be extended to include EVA DB connection; automated monitoring + BNOC NMS integration design complete incl. EVA DB monitoring but won’t be ready before mid‑September.,"2026-08-17 17:43 SAST — Updated from email “Fw: MTN MoMo Monitoring and alerting” (Aman response on manual vs automated monitoring timelines).
2026-08-14 08:10 SAST — Created action from email “MTN MoMo Monitoring and alerting” requesting EVA DB connectivity/data availability monitoring in reports.

Moved from Update on 2026-08-19:
2026-08-14 08:10 SAST — Request guidance on monitoring strategy and timeline to incorporate EVA DB connectivity/data availability monitoring into the solution and BNOC monitoring; report should flag periods of source unavailability/incomplete extraction to avoid false-positive reconciliation exceptions (FAC/Go Live Zambia next week).

2026-08-19 — PMO cleanup: retained latest Update only and moved older Update comment to Update History."
TOR 6 & 7: request ATRA/MoF feedback and closure decision,Fw: AF RTDMS TOR Review,235,"August 14, 2026 8:41 AM",Hameed Rahimi,Medium,AF RTDMS,In progress,"2026-08-14 08:40 SAST — Request ATRA (Irfanullah Safi) support on TOR Points 6 & 7: confirm whether they will engage MoF/Committee to resolve, or advise to consider these items closed.",2026-08-14 08:40 SAST — Created action from email “Fw: AF RTDMS TOR Review” requesting ATRA feedback/next step on TOR 6 & 7.
MTN MoMo Support from BNOC for NW and technical customer engagements,MTN MoMo Assure Fintech Support,236,"August 17, 2026 10:30 AM",Aman,Medium,MTN MoMo,In progress,"17/8
see emial to Aman",
ZM MTN Optional PO,,237,"August 17, 2026 1:15 PM",Francois,High,MTN MoMo,In progress,"17/8
Ngoga will check with Kalombo. See teams with Ngonga",
Lebara: Coordinate Mobily approval + temporary internet for Hadoop 5th node,SA Lebara Re: HDD Swap & Hadoop 5th Node Installation,238,"August 19, 2026 8:12 AM",Aman Ehsan,Medium,SA Lebara,Not started,[2026-08-18 07:46 SAST] Follow-up: Francois asked Hussain to support while Syed is out; request remains to enable temporary Internet access for 2 weeks for server IP 192.168.100.56 so the 5th Hadoop node can be installed/configured.,"[2026-08-18 07:46 SAST] Updated from email follow-up: asked Hussain to support enabling temporary Internet access (2 weeks) for server IP 192.168.100.56 while Syed is out.

[2026-08-18 07:43 SAST] Created action from email request (HDD Swap & Hadoop 5th Node Installation).

[2026-08-18 07:43 SAST] Request: coordinate with Mobily to obtain installation approval for adding a 5th Hadoop node (Supermicro 1U server, ~150–250W) and enable temporary Internet access for 2 weeks for server IP 192.168.100.56.

[2026-08-19] PMO cleanup: retained latest Update only and moved older Update comment to Update History."
Solution design acceptance,,239,"August 18, 2026 9:47 AM",Francois,High,IQ Asiacell,In progress,"18/8
See teams with Rozh,  Use annex 3: service acceptance form. Include BRD, TDT and PIP",
Future storage forecast and usage planning,,240,"August 18, 2026 10:17 AM",Abhijit,Medium,AF RTDMS,In progress,"18/8
See One Note: AF RTDMS Storage capacity 30% - 2026.08.16. Abhijit to determine cleaning up schedule. See email from Aman to Abhijit on 17 Aug",
Change weekly call time with Ashraf - see WA from him on 18 Aug,,241,"August 18, 2026 10:49 AM",,High,SA RBM,In progress,18/8 see WA from Ashraf,
,,242,"August 18, 2026 5:27 PM",,,,Not started,,
,,243,"August 18, 2026 5:27 PM",,,,Not started,,
Get new VNs for TCG from Maninder,,244,"August 18, 2026 5:28 PM",Francois,Medium,AF AWCC,In progress,"18/8 
see email to Maninder",
T.1.2 Pen test and security assessment,Re: AF RTDMS Critical Actions Tracker,245,"August 18, 2026 7:07 PM",Aman,Urgent,AF RTDMS,In progress,18/8 see email to Aman,
Billing system migration CR planning and data feed evaluation,BW Mascom New Billing system,246,"August 19, 2026 8:47 AM",Aritra,Urgent,BW Mascom,In progress,"19/8 08:47
Request urgent gap analysis for new Mascom billing & charging system (CST): identify new adaptors required and impacts on Controls; scope additional work ahead of end-Aug go-live.

19/8
see email to Aritra",2026-08-19 08:47 (Africa/Johannesburg) — Updated action with urgent request for CST billing system gap analysis; captured email subject.
RA On Site travel: 6 to 12 Sept,BW Mascom BA Visit budget,247,"August 21, 2026 12:20 PM",Dave,High,BW Mascom,Done,"21/8
See email to Dave with budget",
Review updated Mascom PIP (RAFM Implementation) v1.3,BW Mascom PIP,248,"August 21, 2026 3:12 PM",,,BW Mascom,Not started,2026-08-21 15:11 SAST — Francois shared an updated Mascom RAFM Implementation PIP (V1.3) and requested Meheden and Mohamad to review the attached update.,2026-08-21 15:11 SAST — Created action from email “BW Mascom PIP”; logged request to review updated Mascom RAFM Implementation PIP V1.3.
ZM MTN Contract addendum for 11 Optional controls,"ZM MTN MoMo Assure Fintech: Contract ",249,"August 21, 2026 3:44 PM",Allison,Medium,General,In progress,"21/8
see email to Allison",
